Name,Age,Position,Player Nationality,Market Value,Left,LeagueLefted,Joined,LeagueJoined,Fee
Cucho Hernández,25,Centre-Forward,Colombia,18.0,Columbus,MLS,Real Betis,LaLiga,13.0
Jordan Teze,24,Right-Back,Netherlands,18.0,PSV Eindhoven,Eredivisie,Monaco,Ligue 1,10.0
Benjamin Bourigeaud,30,Central Midfield,France,18.0,Stade Rennais,Ligue 1,Al-Duhail SC,Stars League,10.0
Allan Saint-Maximin,27,Left Winger,France,18.0,Al-Ahli,Saudi Pro League,Fenerbahce,Süper Lig,
Michele Di Gregorio,26,Goalkeeper,Italy,18.0,Monza,Serie A,Juventus,Serie A,
Andrea Colpani,25,Attacking Midfield,Italy,18.0,Monza,Serie A,Fiorentina,Serie A,
Lloyd Kelly,26,Centre-Back,England,18.0,Newcastle,Premier League,Juventus,Serie A,
Nicolò Zaniolo,25,Attacking Midfield,Italy,18.0,Galatasaray,Süper Lig,Fiorentina,Serie A,
Simon Banza,28,Centre-Forward,DR Congo,18.0,SC Braga,Liga Portugal,Trabzonspor,Süper Lig,
Edoardo Bove,22,Central Midfield,Italy,18.0,AS Roma,Serie A,Fiorentina,Serie A,
Michael Kayode,20,Right-Back,Italy,18.0,Fiorentina,Serie A,Brentford,Premier League,
Emiliano Buendía,28,Attacking Midfield,Argentina,18.0,Aston Villa,Premier League,B. Leverkusen,Bundesliga,
Robin Koch,27,Centre-Back,Germany,18.0,Leeds,Championship,E. Frankfurt,Bundesliga,
Pierre-Emile Højbjerg,28,Defensive Midfield,Denmark,18.0,Tottenham,Premier League,Marseille,Ligue 1,
Enzo Le Fée,24,Central Midfield,France,18.0,AS Roma,Serie A,Sunderland,Championship,
Lloyd Kelly,25,Centre-Back,England,18.0,Bournemouth,Premier League,Newcastle,Premier League,
Daichi Kamada,27,Attacking Midfield,Japan,18.0,Lazio,Serie A,Crystal Palace,Premier League,
Facundo Buonanotte,19,Attacking Midfield,Argentina,18.0,Brighton,Premier League,Leicester,Premier League,
Liam Delap,21,Centre-Forward,England,8.0,Man City U21,Premier League 2,Ipswich,Premier League,17.85
Jack Clarke,23,Left Winger,England,15.0,Sunderland,Championship,Ipswich,Premier League,17.7
Cameron Archer,22,Centre-Forward,England,13.0,Aston Villa,Premier League,Southampton,Premier League,17.6
Kauã Elias,18,Centre-Forward,Brazil,9.0,Fluminense,Série A,Shakhtar D.,Premier Liga,17.0
Hamed Junior Traoré,24,Attacking Midfield,Cote d'Ivoire,17.0,Bournemouth,Premier League,AJ Auxerre,Ligue 1,
Leandro Barreiro,24,Central Midfield,Luxembourg,17.0,1.FSV Mainz 05,Bundesliga,Benfica,Liga Portugal,
Cameron Archer,22,Centre-Forward,England,13.0,Sheff Utd,Championship,Aston Villa,Premier League,16.65
Antonín Kinský,21,Goalkeeper,Czech Republic,12.0,Slavia Prague,Chance Liga,Tottenham,Premier League,16.5
Aarón Anselmino,19,Centre-Back,Argentina,3.0,Boca Juniors,Liga Profesional (- 23/24),Chelsea,Premier League,16.5
Mateo Retegui,25,Centre-Forward,Italy,16.0,Genoa,Serie A,Atalanta BC,Serie A,20.9
Christian Mawissa,19,Centre-Back,France,9.0,Toulouse,Ligue 1,Monaco,Ligue 1,16.0
Jaden Philogene,22,Left Winger,England,15.0,Hull City,Championship,Aston Villa,Premier League,16.0
Andreas Skov Olsen,25,Right Winger,Denmark,16.0,Club Brugge,Jupiler Pro League,VfL Wolfsburg,Bundesliga,14.0
Álvaro Morata,31,Centre-Forward,Spain,16.0,Atlético Madrid,LaLiga,AC Milan,Serie A,13.0
Miguel Almirón,30,Right Winger,Paraguay,16.0,Newcastle,Premier League,Atlanta,MLS,9.55
Giovani Lo Celso,28,Central Midfield,Argentina,16.0,Tottenham,Premier League,Real Betis,LaLiga,5.0
Mohamed Amoura,24,Centre-Forward,Algeria,16.0,Union SG,Jupiler Pro League,VfL Wolfsburg,Bundesliga,
Adam Armstrong,27,Centre-Forward,England,16.0,Southampton,Premier League,West Brom,Championship,
Max Aarons,25,Right-Back,England,16.0,Bournemouth,Premier League,Valencia,LaLiga,
Kévin Denkey,24,Centre-Forward,Togo,14.0,Cercle Brugge,Jupiler Pro League,Cincinnati,MLS,15.3
Dean Huijsen,19,Centre-Back,Spain,10.0,Juventus,Serie A,Bournemouth,Premier League,15.2
