Name,Age,Position,Player Nationality,Market Value,Left,LeagueLefted,Joined,LeagueJoined,Fee
Elias Jelert,21,Right-Back,Denmark,5.5,FC Copenhagen,Superliga,Galatasaray,Süper Lig,9.0
Ryan Flamingo,21,Centre-Back,Netherlands,7.0,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,9.0
Amir Richardson,22,Central Midfield,Morocco,6.0,Stade Reims,Ligue 1,Fiorentina,Serie A,9.0
William Gomes,18,Left Winger,Brazil,6.0,São Paulo,Série A,FC Porto,Liga Portugal,9.0
Kaio César,20,Right Winger,Brazil,3.0,Vit. Guimarães,Liga Portugal,Al-Hilal,Saudi Pro League,9.0
Ezequiel Ponce,27,Centre-Forward,Argentina,5.0,AEK Athens,Super League 1,Houston,MLS,9.0
Matteo Dams,20,Left-Back,Belgium,5.0,PSV Eindhoven,Eredivisie,Al-Ahli,Saudi Pro League,9.0
Alexsander,20,Defensive Midfield,Brazil,8.0,Fluminense,Série A,Al-Ahli,Saudi Pro League,9.0
Pierre-Emerick Aubameyang,35,Centre-Forward,Gabon,5.0,Marseille,Ligue 1,Al-Qadsiah,Saudi Pro League,9.0
Jota,25,Left Winger,Portugal,9.0,Al-Ittihad,Saudi Pro League,Stade Rennais,Ligue 1,8.0
Lucas Ocampos,30,Left Winger,Argentina,9.0,Sevilla FC,LaLiga,Monterrey,Liga MX Apertura,7.25
Hannibal,21,Attacking Midfield,Tunisia,9.0,Man Utd,Premier League,Burnley,Championship,6.4
Akor Adams,24,Centre-Forward,Nigeria,9.0,Montpellier,Ligue 1,Sevilla FC,LaLiga,5.5
Jamie Leweling,23,Right Winger,Germany,9.0,Union Berlin,Bundesliga,VfB Stuttgart,Bundesliga,5.0
Anass Zaroury,23,Attacking Midfield,Morocco,9.0,Burnley,Championship,Lens,Ligue 1,5.0
Marc Roca,27,Defensive Midfield,Spain,9.0,Leeds,Championship,Real Betis,LaLiga,4.5
Hyun-seok Hong,25,Attacking Midfield,"Korea, South",9.0,KAA Gent,Jupiler Pro League,1.FSV Mainz 05,Bundesliga,4.0
Jeff Chabot,26,Centre-Back,Germany,9.0,1.FC Köln,2. Bundesliga,VfB Stuttgart,Bundesliga,4.0
Dániel Gazdag,29,Attacking Midfield,Hungary,9.0,Philadelphia,MLS,Columbus,MLS,3.55
Robert Renan,20,Centre-Back,Brazil,9.0,Zenit S-Pb,Premier Liga,Al-Shabab,Saudi Pro League,
Mario Lemina,31,Defensive Midfield,Gabon,9.0,Wolves,Premier League,Galatasaray,Süper Lig,2.5
Veljko Birmancevic,26,Left Winger,Serbia,9.0,Toulouse,Ligue 1,Sparta Prague,Chance Liga,2.3
Jonathan Rowe,21,Left Winger,England,9.0,Norwich,Championship,Marseille,Ligue 1,
Charlie Patiño,20,Central Midfield,England,9.0,Arsenal U21,Premier League 2,Dep. La Coruña,LaLiga2,1.2
Samuel Gigot,30,Centre-Back,France,9.0,Marseille,Ligue 1,Lazio,Serie A,
Hakim Ziyech,31,Right Winger,Morocco,9.0,Chelsea,Premier League,Galatasaray,Süper Lig,
Frank Onyeka,26,Central Midfield,Nigeria,9.0,Brentford,Premier League,FC Augsburg,Bundesliga,
Maxwel Cornet,27,Left Winger,Cote d'Ivoire,9.0,West Ham,Premier League,Southampton,Premier League,
Stefan Bajcetic,20,Defensive Midfield,Spain,9.0,Liverpool,Premier League,UD Las Palmas,LaLiga,
Scott McKenna,27,Centre-Back,Scotland,9.0,Nottm Forest,Premier League,UD Las Palmas,LaLiga,
Bertrand Traoré,28,Right Winger,Burkina Faso,9.0,Villarreal,LaLiga,Ajax,Eredivisie,
Alejo Veliz,20,Centre-Forward,Argentina,9.0,Tottenham,Premier League,Espanyol,LaLiga,
Juan Miranda,24,Left-Back,Spain,9.0,Real Betis,LaLiga,Bologna,Serie A,
Máximo Perrone,21,Defensive Midfield,Argentina,9.0,Man City,Premier League,Como,Serie A,
Duván Zapata,33,Centre-Forward,Colombia,8.0,Atalanta BC,Serie A,Torino,Serie A,8.6
Abdulmalik Al-Oyayari,20,Right-Back,Saudi Arabia,8.0,Al-Taawoun,Saudi Pro League,NEOM SC,Saudi First Division League,8.54
Jesús Orozco Chiquete,22,Centre-Back,Mexico,8.5,Chivas,Liga MX Apertura,CD Cruz Azul,Liga MX Apertura,10.74
Anass Salah-Eddine,23,Left-Back,Netherlands,5.0,Twente FC,Eredivisie,AS Roma,Serie A,8.5
Valentin Gendrey,24,Right-Back,France,7.0,Lecce,Serie A,TSG Hoffenheim,Bundesliga,8.5
Alberto Dossena,25,Centre-Back,Italy,5.0,Cagliari,Serie A,Como,Serie A,8.5
Osame Sahraoui,23,Left Winger,Morocco,8.5,Heerenveen,Eredivisie,LOSC Lille,Ligue 1,8.0
In-beom Hwang,27,Central Midfield,"Korea, South",8.5,Red Star,Super liga Srbije,Feyenoord,Eredivisie,7.0
Matheus Henrique,26,Central Midfield,Brazil,8.5,Sassuolo,Serie B,Cruzeiro,Série A,6.3
Todd Cantwell,26,Attacking Midfield,England,8.5,Rangers,Premiership,Blackburn,Championship,5.9
Michy Batshuayi,30,Centre-Forward,Belgium,8.5,Fenerbahce,Süper Lig,Galatasaray,Süper Lig,
Nicolas Pépé,29,Right Winger,Cote d'Ivoire,8.5,Trabzonspor,Süper Lig,Villarreal,LaLiga,
Mahmoud Trezeguet,29,Left Winger,Egypt,8.5,Trabzonspor,Süper Lig,Al-Rayyan,Stars League,
Kosta Nedeljkovic,19,Right-Back,Serbia,8.5,Aston Villa,Premier League,RB Leipzig,Bundesliga,
Ben Brereton Díaz,25,Centre-Forward,Chile,8.0,Villarreal,LaLiga,Southampton,Premier League,8.3
Zion Suzuki,21,Goalkeeper,Japan,2.5,Sint-Truiden,Jupiler Pro League,Parma,Serie A,8.2
Luís Maximiano,25,Goalkeeper,Portugal,5.0,Lazio,Serie A,UD Almería,LaLiga2,8.1
Loum Tchaouna,20,Right Winger,France,8.0,Salernitana,Serie B,Lazio,Serie A,8.45
Saúl Coco,25,Centre-Back,Equatorial Guinea,8.0,UD Las Palmas,LaLiga,Torino,Serie A,8.23
Danil Glebov,25,Defensive Midfield,Russia,8.0,Rostov,Premier Liga,Dynamo Moscow,Premier Liga,8.0
Carlos Cuesta,25,Centre-Back,Colombia,5.0,KRC Genk,Jupiler Pro League,Galatasaray,Süper Lig,8.0
Mousa Tamari,27,Right Winger,Jordan,6.0,Montpellier,Ligue 1,Stade Rennais,Ligue 1,8.0
Enzo Barrenechea,23,Defensive Midfield,Argentina,7.5,Juventus,Serie A,Aston Villa,Premier League,8.0
Robin Hranac,24,Centre-Back,Czech Republic,5.0,Viktoria Plzen,Chance Liga,TSG Hoffenheim,Bundesliga,8.0
Walace,29,Defensive Midfield,Brazil,6.0,Udinese,Serie A,Cruzeiro,Série A,8.0
Julio Soler,19,Left-Back,Argentina,8.0,Lanús,Torneo Apertura,Bournemouth,Premier League,8.0
Abner,24,Left-Back,Brazil,7.0,Real Betis,LaLiga,Olympique Lyon,Ligue 1,8.0
Yannik Engelhardt,23,Defensive Midfield,Germany,4.0,F. Düsseldorf,2. Bundesliga,Como,Serie A,8.0
Rodri Sánchez,24,Right Winger,Spain,3.0,Real Betis,LaLiga,Al-Arabi SC,Stars League,8.0
Pascal Groß,33,Central Midfield,Germany,8.0,Brighton,Premier League,Bor. Dortmund,Bundesliga,7.0
Leo Østigård,24,Centre-Back,Norway,8.0,Napoli,Serie A,Stade Rennais,Ligue 1,7.0
Agustín Giay,20,Right-Back,Argentina,8.0,San Lorenzo,Liga Profesional (- 23/24),Palmeiras,Série A,7.0
Bruma,30,Left Winger,Portugal,8.0,SC Braga,Liga Portugal,Benfica,Liga Portugal,6.5
Oleksandr Zubkov,28,Right Winger,Ukraine,8.0,Shakhtar D.,Premier Liga,Trabzonspor,Süper Lig,6.0
Ross Barkley,30,Central Midfield,England,8.0,Luton,Championship,Aston Villa,Premier League,5.9
Angeliño,27,Left-Back,Spain,8.0,RB Leipzig,Bundesliga,AS Roma,Serie A,5.4
Tom Rothe,19,Left-Back,Germany,8.0,Bor. Dortmund,Bundesliga,Union Berlin,Bundesliga,5.0
Danilo Pereira,32,Centre-Back,Portugal,8.0,Paris SG,Ligue 1,Al-Ittihad,Saudi Pro League,5.0
Sardar Azmoun,29,Centre-Forward,Iran,8.0,B. Leverkusen,Bundesliga,Shabab Al-Ahli,UAE Pro League,5.0
Luciano Acosta,30,Attacking Midfield,Argentina,8.0,Cincinnati,MLS,Dallas,MLS,4.8
Morgan Sanson,29,Central Midfield,France,8.0,Aston Villa,Premier League,OGC Nice,Ligue 1,4.0
Matheus Saldanha,25,Centre-Forward,Brazil,8.0,Partizan,Super liga Srbije,Ferencváros,NB I.,3.0
Wilfried Zaha,32,Left Winger,Cote d'Ivoire,8.0,Galatasaray,Süper Lig,Charlotte,MLS,
Carlos Forbs,20,Left Winger,Portugal,8.0,Ajax,Eredivisie,Wolves,Premier League,
Jordan Lotomba,25,Right-Back,Switzerland,8.0,OGC Nice,Ligue 1,Feyenoord,Eredivisie,2.2
Matías Zaracho,26,Attacking Midfield,Argentina,8.0,Atlético-MG,Série A,Racing Club,Torneo Apertura,1.65
Rodrigo Nestor,24,Central Midfield,Brazil,8.0,São Paulo,Série A,EC Bahia,Série A,
Júnior Alonso,31,Centre-Back,Paraguay,8.0,Krasnodar,Premier Liga,Atlético-MG,Série A,1.1
Arnaud Nordin,26,Right Winger,France,8.0,Montpellier,Ligue 1,1.FSV Mainz 05,Bundesliga,1.0
Przemyslaw Frankowski,29,Right-Back,Poland,8.0,Lens,Ligue 1,Galatasaray,Süper Lig,
Ismail Jakobs,25,Left-Back,Senegal,8.0,Monaco,Ligue 1,Galatasaray,Süper Lig,
Jonathan Ikoné,26,Right Winger,France,8.0,Fiorentina,Serie A,Como,Serie A,
Tajon Buchanan,25,Right Winger,Canada,8.0,Inter,Serie A,Villarreal,LaLiga,
Fabian Rieder,22,Right Winger,Switzerland,8.0,Stade Rennais,Ligue 1,VfB Stuttgart,Bundesliga,
Hugo Souza,25,Goalkeeper,Brazil,8.0,Flamengo,Série A,Corinthians,Série A,8.0
Warmed Omari,24,Centre-Back,Comoros,8.0,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,
Samuel Edozie,21,Left Winger,England,8.0,Southampton,Premier League,RSC Anderlecht,Jupiler Pro League,
Luiz Felipe,27,Centre-Back,Italy,8.0,Al-Ittihad,Saudi Pro League,Marseille,Ligue 1,
Maxwel Cornet,28,Left Winger,Cote d'Ivoire,8.0,West Ham,Premier League,Genoa,Serie A,
Naouirou Ahamada,22,Central Midfield,France,8.0,Crystal Palace,Premier League,Stade Rennais,Ligue 1,
Salis Abdul Samed,24,Defensive Midfield,Ghana,8.0,Lens,Ligue 1,Sunderland,Championship,
Ben Brereton Díaz,25,Centre-Forward,Chile,8.0,Southampton,Premier League,Sheff Utd,Championship,
Harry Souttar,25,Centre-Back,Australia,8.0,Leicester,Premier League,Sheff Utd,Championship,
Tanguy Ndombélé,27,Central Midfield,France,8.0,Tottenham,Premier League,OGC Nice,Ligue 1,
Ben Godfrey,26,Centre-Back,England,8.0,Atalanta BC,Serie A,Ipswich,Premier League,
Ben Johnson,24,Right-Back,England,8.0,West Ham,Premier League,Ipswich,Premier League,
Caleb Wiley,20,Left-Back,United States,8.0,Chelsea,Premier League,Watford,Championship,
Felipe Anderson,31,Right Winger,Brazil,8.0,Lazio,Serie A,Palmeiras,Série A,
Chuba Akpom,29,Centre-Forward,England,8.0,Ajax,Eredivisie,LOSC Lille,Ligue 1,
Manu Sánchez,23,Left-Back,Spain,8.0,Celta de Vigo,LaLiga,Alavés,LaLiga,
Paul Wanner,18,Attacking Midfield,Germany,8.0,Bayern Munich,Bundesliga,Heidenheim,Bundesliga,
Vitão,24,Centre-Back,Brazil,8.0,Shakhtar D.,Premier Liga,Internacional,Série A,
Paulinho,31,Centre-Forward,Portugal,7.0,Sporting CP,Liga Portugal,Toluca,Liga MX Apertura,7.75
Víctor Dávila,26,Centre-Forward,Chile,5.0,CSKA Moscow,Premier Liga,América,Liga MX Apertura,7.5
Diego Costa,24,Centre-Back,Brazil,3.5,São Paulo,Série A,Krasnodar,Premier Liga,7.5
Javi López,22,Left-Back,Spain,7.5,Alavés,LaLiga,Real Sociedad,LaLiga,6.5
Leonardo Fernández,26,Attacking Midfield,Uruguay,7.5,Toluca,Liga MX Apertura,Peñarol,Liga AUF Apertura,6.5
Marc Guiu,18,Centre-Forward,Spain,7.5,Barcelona,LaLiga,Chelsea,Premier League,6.0
Joe Worrall,27,Centre-Back,England,7.5,Nottm Forest,Premier League,Burnley,Championship,5.9
Julien De Sart,29,Defensive Midfield,Belgium,7.5,KAA Gent,Jupiler Pro League,Al-Rayyan,Stars League,5.5
Cristian Arango,29,Centre-Forward,Colombia,7.5,Salt Lake,MLS,SJ Earthquakes,MLS,1.35
Cengiz Ünder,27,Right Winger,Türkiye,7.5,Fenerbahce,Süper Lig,LAFC,MLS,
Moritz Jenz,25,Centre-Back,Germany,7.5,VfL Wolfsburg,Bundesliga,1.FSV Mainz 05,Bundesliga,
Saúl Ñíguez,29,Central Midfield,Spain,7.5,Atlético Madrid,LaLiga,Sevilla FC,LaLiga,
Borna Sosa,26,Left Midfield,Croatia,7.5,Ajax,Eredivisie,Torino,Serie A,
Christian Kouamé,27,Centre-Forward,Cote d'Ivoire,7.5,Fiorentina,Serie A,FC Empoli,Serie A,
Philippe Coutinho,32,Attacking Midfield,Brazil,7.5,Aston Villa,Premier League,Vasco da Gama,Série A,
Davide Calabria,28,Right-Back,Italy,7.5,AC Milan,Serie A,Bologna,Serie A,
Enzo Barrenechea,23,Defensive Midfield,Argentina,7.5,Aston Villa,Premier League,Valencia,LaLiga,
Ismaël Gharbi,20,Left Winger,Spain,7.5,Paris SG,Ligue 1,SC Braga,Liga Portugal,
Abdallah Sima,23,Left Winger,Senegal,7.5,Brighton,Premier League,Stade Brestois,Ligue 1,
Maxime Lopez,26,Defensive Midfield,France,7.5,Sassuolo,Serie B,Paris FC,Ligue 2,
Ibrahim Sulemana,21,Defensive Midfield,Ghana,4.0,Cagliari,Serie A,Atalanta BC,Serie A,7.4
Joaquim,25,Centre-Back,Brazil,3.0,Santos,Série B,Tigres UANL,Liga MX Apertura,7.35
Ahmed Al-Ghamdi,22,Left Winger,Saudi Arabia,6.0,Al-Ettifaq,Saudi Pro League,Al-Ittihad,Saudi Pro League,7.35
Uriel Antuna,27,Right Winger,Mexico,6.5,CD Cruz Azul,Liga MX Apertura,Tigres UANL,Liga MX Apertura,7.21
Nathan Fernandes,19,Right Winger,Brazil,6.0,Grêmio,Série A,Botafogo,Série A,7.2
Kaio Jorge,22,Centre-Forward,Brazil,4.0,Juventus,Serie A,Cruzeiro,Série A,7.2
Emiliano Martínez,25,Defensive Midfield,Uruguay,4.5,FC Midtjylland,Superliga,Palmeiras,Série A,7.15
Auston Trusty,26,Centre-Back,United States,7.0,Sheff Utd,Championship,Celtic,Premiership,7.1
Tim Kleindienst,28,Centre-Forward,Germany,6.0,Heidenheim,Bundesliga,Bor. M'gladbach,Bundesliga,7.0
Jonas Urbig,21,Goalkeeper,Germany,3.0,1.FC Köln,2. Bundesliga,Bayern Munich,Bundesliga,7.0
Jacob Ondrejka,22,Left Winger,Sweden,7.0,Royal Antwerp,Jupiler Pro League,Parma,Serie A,7.0
Adamo Nagalo,21,Centre-Back,Burkina Faso,7.0,Nordsjaelland,Superliga,PSV Eindhoven,Eredivisie,7.0
Andrés García,21,Right-Back,Spain,1.2,Levante,LaLiga2,Aston Villa,Premier League,7.0
Moïse Bombito,24,Centre-Back,Canada,4.5,Colorado,MLS,OGC Nice,Ligue 1,7.0
Fabrício Bruno,28,Centre-Back,Brazil,7.0,Flamengo,Série A,Cruzeiro,Série A,7.0
Unai Núñez,27,Centre-Back,Spain,7.0,Athletic,LaLiga,Celta de Vigo,LaLiga,7.0
Matej Jurasek,21,Right Winger,Czech Republic,7.0,Slavia Prague,Chance Liga,Norwich,Championship,7.0
Osman Bukari,25,Right Winger,Ghana,7.0,Red Star,Super liga Srbije,Austin,MLS,7.0
Rony,29,Centre-Forward,Brazil,7.0,Palmeiras,Série A,Atlético-MG,Série A,6.5
Álvaro Carreras,21,Left-Back,Spain,7.0,Man Utd,Premier League,Benfica,Liga Portugal,6.0
Guéla Doué,21,Right-Back,Cote d'Ivoire,7.0,Stade Rennais,Ligue 1,R. Strasbourg,Ligue 1,6.0
Tanner Tessmann,22,Defensive Midfield,United States,7.0,Venezia,Serie A,Olympique Lyon,Ligue 1,6.0
Zaydou Youssouf,25,Central Midfield,Comoros,7.0,Famalicão,Liga Portugal,Al-Fateh,Saudi Pro League,6.0
David Da Costa,24,Attacking Midfield,Portugal,7.0,Lens,Ligue 1,Portland,MLS,5.74
Florinel Coman,26,Left Winger,Romania,7.0,FCSB,SuperLiga,Al-Gharafa,Stars League,5.25
Diant Ramaj,23,Goalkeeper,Germany,7.0,Ajax,Eredivisie,Bor. Dortmund,Bundesliga,5.0
Matheus Pereira,28,Attacking Midfield,Brazil,7.0,Al-Hilal,Saudi Pro League,Cruzeiro,Série A,5.0
Patrick Osterhage,24,Central Midfield,Germany,7.0,VfL Bochum,Bundesliga,SC Freiburg,Bundesliga,4.8
Brian Aguirre,21,Left Winger,Argentina,7.0,Newell's,Liga Profesional (- 23/24),Boca Juniors,Liga Profesional (- 23/24),4.6
Ridle Baku,26,Right-Back,Germany,7.0,VfL Wolfsburg,Bundesliga,RB Leipzig,Bundesliga,4.5
Fabricio Bustos,28,Right-Back,Argentina,7.0,Internacional,Série A,River Plate,Liga Profesional (- 23/24),4.1
Christian,24,Central Midfield,Brazil,7.0,Athletico-PR,Série B,Cruzeiro,Série A,4.0
Ayoze Pérez,31,Centre-Forward,Spain,7.0,Real Betis,LaLiga,Villarreal,LaLiga,4.0
Santiago Sosa,25,Centre-Back,Argentina,7.0,Atlanta,MLS,Racing Club,Torneo Apertura,3.8
Matías Galarza,22,Defensive Midfield,Argentina,7.0,KRC Genk,Jupiler Pro League,CA Talleres,Liga Profesional (- 23/24),3.6
Duje Caleta-Car,27,Centre-Back,Croatia,7.0,Southampton,Premier League,Olympique Lyon,Ligue 1,3.59
Diego Llorente,30,Centre-Back,Spain,7.0,Leeds,Championship,Real Betis,LaLiga,3.25
Ryan Flamingo,21,Centre-Back,Netherlands,7.0,Sassuolo,Serie B,FC Utrecht,Eredivisie,3.07
Michy Batshuayi,31,Centre-Forward,Belgium,7.0,Galatasaray,Süper Lig,E. Frankfurt,Bundesliga,3.0
Anthony Rouault,23,Centre-Back,France,7.0,Toulouse,Ligue 1,VfB Stuttgart,Bundesliga,3.0
Matías Arezo,21,Centre-Forward,Uruguay,7.0,Granada CF,LaLiga2,Grêmio,Série A,3.0
Georgiy Bushchan,30,Goalkeeper,Ukraine,7.0,Dynamo Kyiv,Premier Liga,Al-Shabab,Saudi Pro League,3.0
Rubén Vargas,26,Left Winger,Switzerland,7.0,FC Augsburg,Bundesliga,Sevilla FC,LaLiga,2.5
M'Bala Nzola,27,Centre-Forward,Angola,7.0,Fiorentina,Serie A,Lens,Ligue 1,
Vaclav Cerny,26,Right Winger,Czech Republic,7.0,VfL Wolfsburg,Bundesliga,Rangers,Premiership,
Michael Folorunsho,26,Central Midfield,Italy,7.0,Napoli,Serie A,Fiorentina,Serie A,
Martín Satriano,23,Centre-Forward,Uruguay,7.0,Inter,Serie A,Lens,Ligue 1,
Felix Uduokhai,26,Centre-Back,Germany,7.0,FC Augsburg,Bundesliga,Besiktas,Süper Lig,
Stefano Turati,22,Goalkeeper,Italy,7.0,Sassuolo,Serie B,Monza,Serie A,
Leander Dendoncker,29,Defensive Midfield,Belgium,7.0,Aston Villa,Premier League,RSC Anderlecht,Jupiler Pro League,
Mergim Berisha,26,Centre-Forward,Germany,7.0,TSG Hoffenheim,Bundesliga,FC Augsburg,Bundesliga,
Chrislain Matsima,22,Centre-Back,France,7.0,Monaco,Ligue 1,FC Augsburg,Bundesliga,
Diant Ramaj,23,Goalkeeper,Germany,7.0,Bor. Dortmund,Bundesliga,FC Copenhagen,Superliga,
Gabriel Veron,22,Right Winger,Brazil,7.0,FC Porto,Liga Portugal,Santos,Série A,
Gaetano Castrovilli,27,Central Midfield,Italy,7.0,Fiorentina,Serie A,Lazio,Serie A,
Isaak Touré,21,Centre-Back,France,7.0,FC Lorient,Ligue 2,Udinese,Serie A,
Baptiste Santamaria,29,Defensive Midfield,France,7.0,Stade Rennais,Ligue 1,OGC Nice,Ligue 1,
Kayky,21,Right Winger,Brazil,7.0,Man City U21,Premier League 2,Sparta R.,Eredivisie,
Leo Østigård,25,Centre-Back,Norway,7.0,Stade Rennais,Ligue 1,TSG Hoffenheim,Bundesliga,
José Cifuentes,25,Central Midfield,Ecuador,7.0,Rangers,Premiership,Aris Saloniki,Super League 1,
Michael,28,Left Winger,Brazil,7.0,Al-Hilal,Saudi Pro League,Flamengo,Série A,
Unai Núñez,27,Centre-Back,Spain,7.0,Celta de Vigo,LaLiga,Athletic,LaLiga,
Matt Turner,30,Goalkeeper,United States,7.0,Nottm Forest,Premier League,Crystal Palace,Premier League,
Iván Jaime,24,Attacking Midfield,Spain,7.0,FC Porto,Liga Portugal,Valencia,LaLiga,
Jeremy Sarmiento,22,Left Winger,Ecuador,7.0,Brighton,Premier League,Burnley,Championship,
Kacper Urbanski,20,Central Midfield,Poland,7.0,Bologna,Serie A,Monza,Serie A,
Viktor Djukanovic,20,Left Winger,Montenegro,7.0,Hammarby,Allsvenskan,Standard Liège,Jupiler Pro League,
Jorge Cuenca,24,Centre-Back,Spain,6.0,Villarreal,LaLiga,Fulham,Premier League,6.7
Fidel Ambríz,21,Defensive Midfield,Mexico,4.5,León,Liga MX Apertura,Monterrey,Liga MX Apertura,6.67
Tomás Palacios,21,Centre-Back,Argentina,5.0,Ind. Rivadavia,Liga Profesional (- 23/24),Inter,Serie A,6.5
Luca Jaquez,21,Centre-Back,Switzerland,4.5,FC Luzern,Super League,VfB Stuttgart,Bundesliga,6.5
Anan Khalaili,19,Right Winger,Israel,5.0,Maccabi Haifa,Ligat ha'Al,Union SG,Jupiler Pro League,6.5
Kristijan Jakic,27,Defensive Midfield,Croatia,6.5,E. Frankfurt,Bundesliga,FC Augsburg,Bundesliga,5.0
Williams Alarcón,24,Central Midfield,Chile,6.5,Huracán,Torneo Apertura,Boca Juniors,Torneo Apertura,4.78
Dejan Joveljić,25,Centre-Forward,Serbia,6.5,LA Galaxy,MLS,Kansas City,MLS,3.85
Damián Pizarro,19,Centre-Forward,Chile,6.5,Colo-Colo,Liga Primera,Udinese,Serie A,3.5
Tarik Tissoudali,31,Centre-Forward,Morocco,6.5,KAA Gent,Jupiler Pro League,PAOK Salonika,Super League 1,2.2
Remo Freuler,32,Central Midfield,Switzerland,6.5,Nottm Forest,Premier League,Bologna,Serie A,1.9
Mitchel Bakker,24,Left-Back,Netherlands,6.5,Atalanta BC,Serie A,LOSC Lille,Ligue 1,
Filip Kostić,31,Left Midfield,Serbia,6.5,Juventus,Serie A,Fenerbahce,Süper Lig,
Amir Hadziahmetovic,27,Defensive Midfield,Bosnia-Herzegovina,6.5,Besiktas,Süper Lig,C. Rizespor,Süper Lig,
Hjalmar Ekdal,26,Centre-Back,Sweden,6.5,Burnley,Championship,FC Groningen,Eredivisie,
Vitinho,25,Left Winger,Brazil,6.5,Dynamo Kyiv,Premier Liga,Internacional,Série A,
Gustaf Nilsson,27,Centre-Forward,Sweden,6.0,Union SG,Jupiler Pro League,Club Brugge,Jupiler Pro League,6.4
Luis Romo,29,Central Midfield,Mexico,5.5,CD Cruz Azul,Liga MX Apertura,Chivas,Liga MX Apertura,6.3
Luca Langoni,22,Right Winger,Argentina,4.5,Boca Juniors,Liga Profesional (- 23/24),New England,MLS,6.2
Bright Arrey-Mbi,21,Centre-Back,Germany,2.5,Hannover 96,2. Bundesliga,SC Braga,Liga Portugal,6.2
Júnior Santos,30,Right Winger,Brazil,6.0,Botafogo,Série A,Atlético-MG,Série A,7.6
Luis Romo,29,Central Midfield,Mexico,6.0,Monterrey,Liga MX Apertura,CD Cruz Azul,Liga MX Apertura,6.5
Mathias Løvik,21,Left-Back,Norway,5.0,Molde FK,Eliteserien,Parma,Serie A,6.0
Juma Bah,18,Centre-Back,Sierra Leone,1.0,Real Valladolid,LaLiga,Man City,Premier League,6.0
Wilson Isidor,24,Centre-Forward,France,4.0,Zenit S-Pb,Premier Liga,Sunderland,Championship,6.0
Danylo Sikan,23,Centre-Forward,Ukraine,6.0,Shakhtar D.,Premier Liga,Trabzonspor,Süper Lig,6.0
Zuriko Davitashvili,23,Right Winger,Georgia,3.0,G. Bordeaux,National 2 - Grp. B,Saint-Étienne,Ligue 1,6.0
Cristo,26,Second Striker,Spain,6.0,Arouca,Liga Portugal,Al-Sadd,Stars League,6.0
Félix Lemaréchal,21,Attacking Midfield,France,5.0,Monaco,Ligue 1,R. Strasbourg,Ligue 1,6.0
César Montes,27,Centre-Back,Mexico,3.0,UD Almería,LaLiga2,Loko Moscow,Premier Liga,6.0
Mama Baldé,28,Centre-Forward,Guinea-Bissau,4.0,Troyes,Ligue 2,Olympique Lyon,Ligue 1,6.0
Emil Audero,27,Goalkeeper,Indonesia,5.0,Sampdoria,Serie B,Como,Serie A,6.0
Ardon Jashari,21,Defensive Midfield,Switzerland,6.0,FC Luzern,Super League,Club Brugge,Jupiler Pro League,6.0
Zaid Romero,24,Centre-Back,Argentina,6.0,Estudiantes LP,Liga Profesional (- 23/24),Club Brugge,Jupiler Pro League,6.0
Kevin Kelsy,20,Centre-Forward,Venezuela,2.5,Shakhtar D.,Premier Liga,Portland,MLS,6.0
Alexandro Bernabei,24,Left-Back,Argentina,6.0,Celtic,Premiership,Internacional,Série A,5.5
Francisco Moura,25,Left-Back,Portugal,6.0,Famalicão,Liga Portugal,FC Porto,Liga Portugal,5.0
Vladan Kovačević,26,Goalkeeper,Bosnia-Herzegovina,6.0,Raków,Ekstraklasa,Sporting CP,Liga Portugal,4.81
Hércules,24,Central Midfield,Brazil,6.0,Fortaleza,Série A,Fluminense,Série A,4.55
Youri Regeer,21,Central Midfield,Netherlands,6.0,Twente FC,Eredivisie,Ajax,Eredivisie,4.5
Aïssa Laïdouni,27,Central Midfield,Tunisia,6.0,Union Berlin,Bundesliga,Al-Wakrah SC,Stars League,4.5
Cristian Olivera,22,Right Winger,Uruguay,6.0,LAFC,MLS,Grêmio,Série A,4.3
Adam Bareiro,27,Centre-Forward,Paraguay,6.0,San Lorenzo,Liga Profesional (- 23/24),River Plate,Liga Profesional (- 23/24),4.15
Lucien Agoumé,22,Defensive Midfield,France,6.0,Inter,Serie A,Sevilla FC,LaLiga,4.0
Yorbe Vertessen,24,Centre-Forward,Belgium,6.0,Union Berlin,Bundesliga,RB Salzburg,Bundesliga,4.0
Muhammed Cham,23,Attacking Midfield,Austria,6.0,Clermont Foot,Ligue 2,Trabzonspor,Süper Lig,4.0
Kristoffer Velde,24,Left Winger,Norway,6.0,Lech Poznan,Ekstraklasa,Olympiacos,Super League 1,4.0
Adam Buksa,27,Centre-Forward,Poland,6.0,Lens,Ligue 1,FC Midtjylland,Superliga,4.0
Thiago Maia,27,Defensive Midfield,Brazil,6.0,Flamengo,Série A,Internacional,Série A,4.0
Gonzalo Plata,23,Right Winger,Ecuador,6.0,Al-Sadd,Stars League,Flamengo,Série A,3.8
Rade Krunic,30,Defensive Midfield,Bosnia-Herzegovina,6.0,AC Milan,Serie A,Fenerbahce,Süper Lig,3.5
Gabriel Strefezza,27,Right Winger,Brazil,6.0,Lecce,Serie A,Como,Serie A,3.5
