PlayerName,Post,Age,MarketValue,Nationality,Left,Current_team,Fee
Mousa Tamari,Right Winger,27,6.00m,Jordan,Montpellier HSC,Stade Rennais FC,0
Enzo Barrenechea,Defensive Midfield,23,7.50m,Argentina,Juventus FC,Aston Villa,0
Robin Hranac,Centre-Back,24,5.00m,Czech Republic,FC Viktoria Plzen,TSG 1899 Hoffenheim,0
Walace,Defensive Midfield,29,6.00m,Brazil,Udinese Calcio,Cruzeiro Esporte Clube,0
Julio Soler,Left-Back,19,8.00m,Argentina,CA Lanús,AFC Bournemouth,0
Abner,Left-Back,24,7.00m,Brazil,Real Betis Balompié,Olympique Lyon,0
Yannik Engelhardt,Defensive Midfield,23,4.00m,Germany,Fortuna Düsseldorf,Como 1907,0
Rodri Sánchez,Right Winger,24,3.00m,Spain,Real Betis Balompié,Al-Arabi SC,0
Pascal Groß,Central Midfield,33,8.00m,Germany,Brighton & Hove Albion,Borussia Dortmund,7.00m
Leo Østigård,Centre-Back,24,8.00m,Norway,SSC Napoli,Stade Rennais FC,7.00m
Agustín Giay,Right-Back,20,8.00m,Argentina,CA San Lorenzo de Almagro,Sociedade Esportiva Palmeiras,7.00m
Bruma,Left Winger,30,8.00m,Portugal,SC Braga,SL Benfica,6.50m
Oleksandr Zubkov,Right Winger,28,8.00m,Ukraine,Shakhtar Donetsk,Trabzonspor,6.00m
Ross Barkley,Central Midfield,30,8.00m,England,Luton Town,Aston Villa,5.90m
Angeliño,Left-Back,27,8.00m,Spain,RB Leipzig,AS Roma,5.40m
Tom Rothe,Left-Back,19,8.00m,Germany,Borussia Dortmund,1.FC Union Berlin,5.00m
Danilo Pereira,Centre-Back,32,8.00m,Portugal,Paris Saint-Germain,Al-Ittihad Club,5.00m
Sardar Azmoun,Centre-Forward,29,8.00m,Iran,Bayer 04 Leverkusen,Shabab Al-Ahli Club,5.00m
Luciano Acosta,Attacking Midfield,30,8.00m,Argentina,FC Cincinnati,FC Dallas,4.80m
Morgan Sanson,Central Midfield,29,8.00m,France,Aston Villa,OGC Nice,4.00m
Matheus Saldanha,Centre-Forward,25,8.00m,Brazil,FK Partizan Belgrade,Ferencvárosi TC,3.00m
Wilfried Zaha,Left Winger,32,8.00m,Cote d'Ivoire,Galatasaray,Charlotte FC,Loan fee:2.70m
Carlos Forbs,Left Winger,20,8.00m,Portugal,Ajax Amsterdam,Wolverhampton Wanderers,Loan fee:2.50m
Jordan Lotomba,Right-Back,25,8.00m,Switzerland,OGC Nice,Feyenoord Rotterdam,2.20m
Matías Zaracho,Attacking Midfield,26,8.00m,Argentina,Clube Atlético Mineiro,Racing Club,1.65m
Rodrigo Nestor,Central Midfield,24,8.00m,Brazil,São Paulo Futebol Clube,Esporte Clube Bahia,Loan fee:1.50m
Júnior Alonso,Centre-Back,31,8.00m,Paraguay,FC Krasnodar,Clube Atlético Mineiro,1.10m
Arnaud Nordin,Right Winger,26,8.00m,France,Montpellier HSC,1.FSV Mainz 05,1.00m
Przemyslaw Frankowski,Right-Back,29,8.00m,Poland,RC Lens,Galatasaray,Loan fee:1.00m
Ismail Jakobs,Left-Back,25,8.00m,Senegal,AS Monaco,Galatasaray,Loan fee:1.00m
Jonathan Ikoné,Right Winger,26,8.00m,France,ACF Fiorentina,Como 1907,Loan fee:1.00m
Tajon Buchanan,Right Winger,25,8.00m,Canada,Inter Milan,Villarreal CF,Loan fee:1.00m
Fabian Rieder,Right Winger,22,8.00m,Switzerland,Stade Rennais FC,VfB Stuttgart,Loan fee:800k
Hugo Souza,Goalkeeper,25,8.00m,Brazil,CR Flamengo,Sport Club Corinthians Paulista,800k
Warmed Omari,Centre-Back,24,8.00m,Comoros,Stade Rennais FC,Olympique Lyon,Loan fee:500k
Samuel Edozie,Left Winger,21,8.00m,England,Southampton FC,RSC Anderlecht,loan transfer
Luiz Felipe,Centre-Back,27,8.00m,Italy,Al-Ittihad Club,Olympique Marseille,free transfer
Maxwel Cornet,Left Winger,28,8.00m,Cote d'Ivoire,West Ham United,Genoa CFC,loan transfer
Naouirou Ahamada,Central Midfield,22,8.00m,France,Crystal Palace,Stade Rennais FC,loan transfer
Salis Abdul Samed,Defensive Midfield,24,8.00m,Ghana,RC Lens,Sunderland AFC,loan transfer
Ben Brereton Díaz,Centre-Forward,25,8.00m,Chile,Southampton FC,Sheffield United,loan transfer
Harry Souttar,Centre-Back,25,8.00m,Australia,Leicester City,Sheffield United,loan transfer
Tanguy Ndombélé,Central Midfield,27,8.00m,France,Tottenham Hotspur,OGC Nice,free transfer
Ben Godfrey,Centre-Back,26,8.00m,England,Atalanta BC,Ipswich Town,loan transfer
Ben Johnson,Right-Back,24,8.00m,England,West Ham United,Ipswich Town,free transfer
Caleb Wiley,Left-Back,20,8.00m,United States,Chelsea FC,Watford FC,loan transfer
Felipe Anderson,Right Winger,31,8.00m,Brazil,SS Lazio,Sociedade Esportiva Palmeiras,free transfer
Chuba Akpom,Centre-Forward,29,8.00m,England,Ajax Amsterdam,LOSC Lille,loan transfer
Manu Sánchez,Left-Back,23,8.00m,Spain,Celta de Vigo,Deportivo Alavés,loan transfer
Paul Wanner,Attacking Midfield,18,8.00m,Germany,Bayern Munich,1.FC Heidenheim 1846,loan transfer
Vitão,Centre-Back,24,8.00m,Brazil,Shakhtar Donetsk,Sport Club Internacional,free transfer
Paulinho,Centre-Forward,31,7.00m,Portugal,Sporting CP,Deportivo Toluca,0
Víctor Dávila,Centre-Forward,26,5.00m,Chile,CSKA Moscow,CF América,0
Diego Costa,Centre-Back,24,3.50m,Brazil,São Paulo Futebol Clube,FC Krasnodar,0
Javi López,Left-Back,22,7.50m,Spain,Deportivo Alavés,Real Sociedad,6.50m
Leonardo Fernández,Attacking Midfield,26,7.50m,Uruguay,Deportivo Toluca,CA Peñarol,6.50m
Marc Guiu,Centre-Forward,18,7.50m,Spain,FC Barcelona,Chelsea FC,6.00m
Joe Worrall,Centre-Back,27,7.50m,England,Nottingham Forest,Burnley FC,5.90m
Julien De Sart,Defensive Midfield,29,7.50m,Belgium,KAA Gent,Al-Rayyan SC,5.50m
Cristian Arango,Centre-Forward,29,7.50m,Colombia,Real Salt Lake City,San Jose Earthquakes,1.35m
Cengiz Ünder,Right Winger,27,7.50m,Türkiye,Fenerbahce,Los Angeles FC,Loan fee:1.20m
Moritz Jenz,Centre-Back,25,7.50m,Germany,VfL Wolfsburg,1.FSV Mainz 05,Loan fee:250k
Saúl Ñíguez,Central Midfield,29,7.50m,Spain,Atlético de Madrid,Sevilla FC,loan transfer
Borna Sosa,Left Midfield,26,7.50m,Croatia,Ajax Amsterdam,Torino FC,loan transfer
Christian Kouamé,Centre-Forward,27,7.50m,Cote d'Ivoire,ACF Fiorentina,FC Empoli,loan transfer
Philippe Coutinho,Attacking Midfield,32,7.50m,Brazil,Aston Villa,Clube de Regatas Vasco da Gama,loan transfer
Davide Calabria,Right-Back,28,7.50m,Italy,AC Milan,Bologna FC 1909,loan transfer
Enzo Barrenechea,Defensive Midfield,23,7.50m,Argentina,Aston Villa,Valencia CF,loan transfer
Ismaël Gharbi,Left Winger,20,7.50m,Spain,Paris Saint-Germain,SC Braga,free transfer
Abdallah Sima,Left Winger,23,7.50m,Senegal,Brighton & Hove Albion,Stade Brestois 29,loan transfer
Maxime Lopez,Defensive Midfield,26,7.50m,France,US Sassuolo,Paris FC,free transfer
Ibrahim Sulemana,Defensive Midfield,21,4.00m,Ghana,Cagliari Calcio,Atalanta BC,0
Joaquim,Centre-Back,25,3.00m,Brazil,Santos FC,Tigres UANL,0
Ahmed Al-Ghamdi,Left Winger,22,600k,Saudi Arabia,Al-Ettifaq FC,Al-Ittihad Club,0
Uriel Antuna,Right Winger,27,6.50m,Mexico,CD Cruz Azul,Tigres UANL,0
Nathan Fernandes,Right Winger,19,6.00m,Brazil,Grêmio Foot-Ball Porto Alegrense,Botafogo de Futebol e Regatas,0
Kaio Jorge,Centre-Forward,22,4.00m,Brazil,Juventus FC,Cruzeiro Esporte Clube,0
Emiliano Martínez,Defensive Midfield,25,4.50m,Uruguay,FC Midtjylland,Sociedade Esportiva Palmeiras,0
Auston Trusty,Centre-Back,26,7.00m,United States,Sheffield United,Celtic FC,0
Tim Kleindienst,Centre-Forward,28,6.00m,Germany,1.FC Heidenheim 1846,Borussia Mönchengladbach,0
Jonas Urbig,Goalkeeper,21,3.00m,Germany,1.FC Köln,Bayern Munich,0
Jacob Ondrejka,Left Winger,22,7.00m,Sweden,Royal Antwerp FC,Parma Calcio 1913,0
Adamo Nagalo,Centre-Back,21,7.00m,Burkina Faso,FC Nordsjaelland,PSV Eindhoven,0
Andrés García,Right-Back,21,1.20m,Spain,Levante UD,Aston Villa,0
Moïse Bombito,Centre-Back,24,4.50m,Canada,Colorado Rapids,OGC Nice,0
Fabrício Bruno,Centre-Back,28,7.00m,Brazil,CR Flamengo,Cruzeiro Esporte Clube,0
Unai Núñez,Centre-Back,27,7.00m,Spain,Athletic Bilbao,Celta de Vigo,0
Matej Jurasek,Right Winger,21,7.00m,Czech Republic,SK Slavia Prague,Norwich City,0
Osman Bukari,Right Winger,25,7.00m,Ghana,Red Star Belgrade,Austin FC,0
Rony,Centre-Forward,29,7.00m,Brazil,Sociedade Esportiva Palmeiras,Clube Atlético Mineiro,6.50m
Álvaro Carreras,Left-Back,21,7.00m,Spain,Manchester United,SL Benfica,6.00m
Guéla Doué,Right-Back,21,7.00m,Cote d'Ivoire,Stade Rennais FC,RC Strasbourg Alsace,6.00m
Tanner Tessmann,Defensive Midfield,22,7.00m,United States,Venezia FC,Olympique Lyon,6.00m
Zaydou Youssouf,Central Midfield,25,7.00m,Comoros,FC Famalicão,Al-Fateh SC,6.00m
David Da Costa,Attacking Midfield,24,7.00m,Portugal,RC Lens,Portland Timbers,5.74m
Florinel Coman,Left Winger,26,7.00m,Romania,FCSB,Al-Gharafa SC,5.25m
Diant Ramaj,Goalkeeper,23,7.00m,Germany,Ajax Amsterdam,Borussia Dortmund,5.00m
Matheus Pereira,Attacking Midfield,28,7.00m,Brazil,Al-Hilal SFC,Cruzeiro Esporte Clube,5.00m
Patrick Osterhage,Central Midfield,24,7.00m,Germany,VfL Bochum,SC Freiburg,4.80m
Brian Aguirre,Left Winger,21,7.00m,Argentina,CA Newell's Old Boys,CA Boca Juniors,4.60m
Ridle Baku,Right-Back,26,7.00m,Germany,VfL Wolfsburg,RB Leipzig,4.50m
Fabricio Bustos,Right-Back,28,7.00m,Argentina,Sport Club Internacional,CA River Plate,4.10m
Christian,Central Midfield,24,7.00m,Brazil,Club Athletico Paranaense,Cruzeiro Esporte Clube,4.00m
Ayoze Pérez,Centre-Forward,31,7.00m,Spain,Real Betis Balompié,Villarreal CF,4.00m
Santiago Sosa,Centre-Back,25,7.00m,Argentina,Atlanta United FC,Racing Club,3.80m
Matías Galarza,Defensive Midfield,22,7.00m,Argentina,KRC Genk,CA Talleres,3.60m
Duje Caleta-Car,Centre-Back,27,7.00m,Croatia,Southampton FC,Olympique Lyon,3.59m
Diego Llorente,Centre-Back,30,7.00m,Spain,Leeds United,Real Betis Balompié,3.25m
Ryan Flamingo,Centre-Back,21,7.00m,Netherlands,US Sassuolo,FC Utrecht,3.07m
Michy Batshuayi,Centre-Forward,31,7.00m,Belgium,Galatasaray,Eintracht Frankfurt,3.00m
Anthony Rouault,Centre-Back,23,7.00m,France,FC Toulouse,VfB Stuttgart,3.00m
Matías Arezo,Centre-Forward,21,7.00m,Uruguay,Granada CF,Grêmio Foot-Ball Porto Alegrense,3.00m
Georgiy Bushchan,Goalkeeper,30,7.00m,Ukraine,Dynamo Kyiv,Al-Shabab FC,3.00m
Rubén Vargas,Left Winger,26,7.00m,Switzerland,FC Augsburg,Sevilla FC,2.50m
M'Bala Nzola,Centre-Forward,27,7.00m,Angola,ACF Fiorentina,RC Lens,Loan fee:2.10m
Vaclav Cerny,Right Winger,26,7.00m,Czech Republic,VfL Wolfsburg,Rangers FC,Loan fee:1.50m
Michael Folorunsho,Central Midfield,26,7.00m,Italy,SSC Napoli,ACF Fiorentina,Loan fee:1.00m
Martín Satriano,Centre-Forward,23,7.00m,Uruguay,Inter Milan,RC Lens,Loan fee:1.00m
Felix Uduokhai,Centre-Back,26,7.00m,Germany,FC Augsburg,Besiktas JK,Loan fee:500k
Stefano Turati,Goalkeeper,22,7.00m,Italy,US Sassuolo,AC Monza,Loan fee:500k
Leander Dendoncker,Defensive Midfield,29,7.00m,Belgium,Aston Villa,RSC Anderlecht,loan transfer
Mergim Berisha,Centre-Forward,26,7.00m,Germany,TSG 1899 Hoffenheim,FC Augsburg,loan transfer
Chrislain Matsima,Centre-Back,22,7.00m,France,AS Monaco,FC Augsburg,loan transfer
Diant Ramaj,Goalkeeper,23,7.00m,Germany,Borussia Dortmund,FC Copenhagen,loan transfer
Gabriel Veron,Right Winger,22,7.00m,Brazil,FC Porto,Santos FC,loan transfer
Gaetano Castrovilli,Central Midfield,27,7.00m,Italy,ACF Fiorentina,SS Lazio,free transfer
Isaak Touré,Centre-Back,21,7.00m,France,FC Lorient,Udinese Calcio,loan transfer
Baptiste Santamaria,Defensive Midfield,29,7.00m,France,Stade Rennais FC,OGC Nice,loan transfer
Kayky,Right Winger,21,7.00m,Brazil,Manchester City U21,Sparta Rotterdam,loan transfer
Leo Østigård,Centre-Back,25,7.00m,Norway,Stade Rennais FC,TSG 1899 Hoffenheim,loan transfer
José Cifuentes,Central Midfield,25,7.00m,Ecuador,Rangers FC,Aris Thessaloniki,loan transfer
Michael,Left Winger,28,7.00m,Brazil,Al-Hilal SFC,CR Flamengo,free transfer
Unai Núñez,Centre-Back,27,7.00m,Spain,Celta de Vigo,Athletic Bilbao,loan transfer
Matt Turner,Goalkeeper,30,7.00m,United States,Nottingham Forest,Crystal Palace,loan transfer
Iván Jaime,Attacking Midfield,24,7.00m,Spain,FC Porto,Valencia CF,loan transfer
Jeremy Sarmiento,Left Winger,22,7.00m,Ecuador,Brighton & Hove Albion,Burnley FC,loan transfer
Kacper Urbanski,Central Midfield,20,7.00m,Poland,Bologna FC 1909,AC Monza,loan transfer
Viktor Djukanovic,Left Winger,20,7.00m,Montenegro,Hammarby IF,Standard Liège,loan transfer
Jorge Cuenca,Centre-Back,24,6.00m,Spain,Villarreal CF,Fulham FC,0
Fidel Ambríz,Defensive Midfield,21,4.50m,Mexico,Club León FC,CF Monterrey,0
Tomás Palacios,Centre-Back,21,500k,Argentina,CS Independiente Rivadavia,Inter Milan,0
Luca Jaquez,Centre-Back,21,4.50m,Switzerland,FC Luzern,VfB Stuttgart,0
Anan Khalaili,Right Winger,19,5.00m,Israel,Maccabi Haifa,Union Saint-Gilloise,0
Kristijan Jakic,Defensive Midfield,27,6.50m,Croatia,Eintracht Frankfurt,FC Augsburg,5.00m
Williams Alarcón,Central Midfield,24,6.50m,Chile,CA Huracán,CA Boca Juniors,4.78m
Dejan Joveljić,Centre-Forward,25,6.50m,Serbia,Los Angeles Galaxy,Sporting Kansas City,3.85m
Damián Pizarro,Centre-Forward,19,6.50m,Chile,CSD Colo-Colo,Udinese Calcio,3.50m
Tarik Tissoudali,Centre-Forward,31,6.50m,Morocco,KAA Gent,PAOK Thessaloniki,2.20m
Remo Freuler,Central Midfield,32,6.50m,Switzerland,Nottingham Forest,Bologna FC 1909,1.90m
Mitchel Bakker,Left-Back,24,6.50m,Netherlands,Atalanta BC,LOSC Lille,Loan fee:840k
Filip Kostić,Left Midfield,31,6.50m,Serbia,Juventus FC,Fenerbahce,loan transfer
Amir Hadziahmetovic,Defensive Midfield,27,6.50m,Bosnia-Herzegovina,Besiktas JK,Caykur Rizespor,loan transfer
Hjalmar Ekdal,Centre-Back,26,6.50m,Sweden,Burnley FC,FC Groningen,loan transfer
Vitinho,Left Winger,25,6.50m,Brazil,Dynamo Kyiv,Sport Club Internacional,loan transfer
Gustaf Nilsson,Centre-Forward,27,6.00m,Sweden,Union Saint-Gilloise,Club Brugge KV,0
Luis Romo,Central Midfield,29,5.50m,Mexico,CD Cruz Azul,Deportivo Guadalajara,0
Luca Langoni,Right Winger,22,4.50m,Argentina,CA Boca Juniors,New England Revolution,0
Bright Arrey-Mbi,Centre-Back,21,2.50m,Germany,Hannover 96,SC Braga,0
Júnior Santos,Right Winger,30,6.00m,Brazil,Botafogo de Futebol e Regatas,Clube Atlético Mineiro,0
Luis Romo,Central Midfield,29,6.00m,Mexico,CF Monterrey,CD Cruz Azul,0
Mathias Løvik,Left-Back,21,5.00m,Norway,Molde FK,Parma Calcio 1913,0
Juma Bah,Centre-Back,18,1.00m,Sierra Leone,Real Valladolid CF,Manchester City,0
Wilson Isidor,Centre-Forward,24,4.00m,France,Zenit St. Petersburg,Sunderland AFC,0
Danylo Sikan,Centre-Forward,23,6.00m,Ukraine,Shakhtar Donetsk,Trabzonspor,0
Zuriko Davitashvili,Left Winger,23,3.00m,Georgia,FC Girondins Bordeaux,AS Saint-Étienne,0
Cristo,Second Striker,26,6.00m,Spain,FC Arouca,Al-Sadd SC,0
Félix Lemaréchal,Attacking Midfield,21,5.00m,France,AS Monaco,RC Strasbourg Alsace,0
César Montes,Centre-Back,27,3.00m,Mexico,UD Almería,Lokomotiv Moscow,0
Mama Baldé,Centre-Forward,28,4.00m,Guinea-Bissau,ESTAC Troyes,Olympique Lyon,0
Emil Audero,Goalkeeper,27,5.00m,Indonesia,UC Sampdoria,Como 1907,0
Ardon Jashari,Defensive Midfield,21,6.00m,Switzerland,FC Luzern,Club Brugge KV,0
Zaid Romero,Centre-Back,24,6.00m,Argentina,Club Estudiantes de La Plata,Club Brugge KV,0
Kevin Kelsy,Centre-Forward,20,2.50m,Venezuela,Shakhtar Donetsk,Portland Timbers,0
Alexandro Bernabei,Left-Back,24,6.00m,Argentina,Celtic FC,Sport Club Internacional,5.50m
Francisco Moura,Left-Back,25,6.00m,Portugal,FC Famalicão,FC Porto,5.00m
Vladan Kovačević,Goalkeeper,26,6.00m,Bosnia-Herzegovina,Raków Częstochowa,Sporting CP,4.81m
Hércules,Central Midfield,24,6.00m,Brazil,Fortaleza Esporte Clube,Fluminense Football Club,4.55m
Youri Regeer,Central Midfield,21,6.00m,Netherlands,Twente Enschede FC,Ajax Amsterdam,4.50m
Aïssa Laïdouni,Central Midfield,27,6.00m,Tunisia,1.FC Union Berlin,Al-Wakrah SC,4.50m
Cristian Olivera,Right Winger,22,6.00m,Uruguay,Los Angeles FC,Grêmio Foot-Ball Porto Alegrense,4.30m
Adam Bareiro,Centre-Forward,27,6.00m,Paraguay,CA San Lorenzo de Almagro,CA River Plate,4.15m
Lucien Agoumé,Defensive Midfield,22,6.00m,France,Inter Milan,Sevilla FC,4.00m
Yorbe Vertessen,Centre-Forward,24,6.00m,Belgium,1.FC Union Berlin,Red Bull Salzburg,4.00m
Muhammed Cham,Attacking Midfield,23,6.00m,Austria,Clermont Foot 63,Trabzonspor,4.00m
Kristoffer Velde,Left Winger,24,6.00m,Norway,Lech Poznan,Olympiacos Piraeus,4.00m
Adam Buksa,Centre-Forward,27,6.00m,Poland,RC Lens,FC Midtjylland,4.00m
Matt Grimes,Defensive Midfield,29,6.00m,England,Swansea City,Coventry City,4.00m
Thiago Maia,Defensive Midfield,27,6.00m,Brazil,CR Flamengo,Sport Club Internacional,4.00m
Gonzalo Plata,Right Winger,23,6.00m,Ecuador,Al-Sadd SC,CR Flamengo,3.80m
Rade Krunic,Defensive Midfield,30,6.00m,Bosnia-Herzegovina,AC Milan,Fenerbahce,3.50m
Gabriel Strefezza,Right Winger,27,6.00m,Brazil,US Lecce,Como 1907,3.50m
Mark McKenzie,Centre-Back,25,6.00m,United States,KRC Genk,FC Toulouse,3.00m
Benjamín Garré,Right Winger,24,6.00m,Argentina,Krylya Sovetov Samara,Clube de Regatas Vasco da Gama,3.00m
Filip Marchwinski,Attacking Midfield,22,6.00m,Poland,Lech Poznan,US Lecce,3.00m
Keven Schlotterbeck,Centre-Back,27,6.00m,Germany,SC Freiburg,FC Augsburg,2.50m
Wout Weghorst,Centre-Forward,32,6.00m,Netherlands,Burnley FC,Ajax Amsterdam,2.38m
Nicolás Fernández,Centre-Forward,28,6.00m,Argentina,Defensa y Justicia,Club Atlético Belgrano,2.29m
César Huerta,Left Winger,24,6.00m,Mexico,UNAM Pumas,RSC Anderlecht,2.00m
Roko Simic,Centre-Forward,20,6.00m,Croatia,Red Bull Salzburg,Cardiff City,2.00m
Wanderson,Left Winger,30,6.00m,Brazil,Sport Club Internacional,Cruzeiro Esporte Clube,2.00m
Rodrigo Huescas,Right-Back,20,6.00m,Mexico,CD Cruz Azul,FC Copenhagen,1.85m
Jacob Bruun Larsen,Left Winger,26,6.00m,Denmark,TSG 1899 Hoffenheim,VfB Stuttgart,1.70m
Festy Ebosele,Right-Back,22,6.00m,Ireland,Udinese Calcio,Basaksehir FK,1.50m
Riccardo Sottil,Left Winger,25,6.00m,Italy,ACF Fiorentina,AC Milan,Loan fee:1.00m
Robert Navarro,Attacking Midfield,22,6.00m,Spain,Real Sociedad,RCD Mallorca,850k
Fran Navarro,Centre-Forward,26,6.00m,Spain,FC Porto,SC Braga,Loan fee:300k
Mahmoud Dahoud,Central Midfield,28,6.00m,Syria,Brighton & Hove Albion,Eintracht Frankfurt,free transfer
Thomas Foket,Right-Back,29,6.00m,Belgium,Stade Reims,RSC Anderlecht,free transfer
Ibrahima Sissoko,Defensive Midfield,26,6.00m,Mali,RC Strasbourg Alsace,VfL Bochum,free transfer
Issa Kaboré,Right-Back,23,6.00m,Burkina Faso,Manchester City,SV Werder Bremen,loan transfer
Derrick Köhn,Left-Back,25,6.00m,Germany,Galatasaray,SV Werder Bremen,loan transfer
Abdülkadir Ömür,Attacking Midfield,25,6.00m,Türkiye,Hull City,Caykur Rizespor,loan transfer
Rade Krunic,Defensive Midfield,30,6.00m,Bosnia-Herzegovina,Fenerbahce,Red Star Belgrade,free transfer
Steve Mounié,Centre-Forward,29,6.00m,Benin,Stade Brestois 29,FC Augsburg,free transfer
Talles Magno,Left Winger,22,6.00m,Brazil,New York City FC,Sport Club Corinthians Paulista,loan transfer
Luan Cândido,Left-Back,24,6.00m,Brazil,Red Bull Bragantino,Grêmio Foot-Ball Porto Alegrense,loan transfer
Gijs Smal,Left-Back,26,6.00m,Netherlands,Twente Enschede FC,Feyenoord Rotterdam,free transfer
Julián Carranza,Centre-Forward,24,6.00m,Argentina,Philadelphia Union,Feyenoord Rotterdam,free transfer
Hugo Bueno,Left-Back,21,6.00m,Spain,Wolverhampton Wanderers,Feyenoord Rotterdam,loan transfer
Nemanja Maksimovic,Central Midfield,29,6.00m,Serbia,Getafe CF,Panathinaikos FC,free transfer
Flavius Daniliuc,Centre-Back,23,6.00m,Austria,US Salernitana 1919,Hellas Verona,loan transfer
Chris Mepham,Centre-Back,26,6.00m,Wales,AFC Bournemouth,Sunderland AFC,loan transfer
Anton Miranchuk,Attacking Midfield,28,6.00m,Russia,Lokomotiv Moscow,FC Sion,free transfer
Gabriel Menino,Central Midfield,24,6.00m,Brazil,Sociedade Esportiva Palmeiras,Clube Atlético Mineiro,free transfer
Chidera Ejuke,Left Winger,26,6.00m,Nigeria,CSKA Moscow,Sevilla FC,free transfer
Jeffrey Schlupp,Left Midfield,32,6.00m,Ghana,Crystal Palace,Celtic FC,loan transfer
Alex Telles,Left-Back,31,6.00m,Brazil,Al-Nassr FC,Botafogo de Futebol e Regatas,free transfer
Roko Simic,Centre-Forward,20,6.00m,Croatia,Cardiff City,KV Kortrijk,loan transfer
Gabriel Barbosa,Centre-Forward,28,6.00m,Brazil,CR Flamengo,Cruzeiro Esporte Clube,free transfer
Marquinhos,Right Winger,21,6.00m,Brazil,Arsenal FC,Cruzeiro Esporte Clube,loan transfer
Valentín Barco,Central Midfield,20,6.00m,Argentina,Brighton & Hove Albion,RC Strasbourg Alsace,loan transfer
Walid Cheddira,Centre-Forward,26,6.00m,Morocco,SSC Napoli,RCD Espanyol Barcelona,loan transfer
Junior Mwanga,Defensive Midfield,21,6.00m,France,RC Strasbourg Alsace,Le Havre AC,loan transfer
Lorenzo Colombo,Centre-Forward,22,6.00m,Italy,AC Milan,FC Empoli,loan transfer
Saïdou Sow,Centre-Back,22,6.00m,Guinea,RC Strasbourg Alsace,FC Nantes,loan transfer
Johann Lepenant,Defensive Midfield,21,6.00m,France,Olympique Lyon,FC Nantes,loan transfer
Jesper Karlsson,Left Winger,26,6.00m,Sweden,Bologna FC 1909,US Lecce,loan transfer
Festy Ebosele,Right-Back,22,6.00m,Ireland,Udinese Calcio,Watford FC,loan transfer
Pape Gueye,Defensive Midfield,25,6.00m,Senegal,Olympique Marseille,Villarreal CF,free transfer
Sergi Cardona,Left-Back,25,6.00m,Spain,UD Las Palmas,Villarreal CF,free transfer
Mady Camara,Central Midfield,27,6.00m,Guinea,Olympiacos Piraeus,PAOK Thessaloniki,free transfer
Jaidon Anthony,Left Winger,24,6.00m,England,AFC Bournemouth,Burnley FC,loan transfer
Elia Caprile,Goalkeeper,23,6.00m,Italy,SSC Napoli,Cagliari Calcio,loan transfer
Florinel Coman,Left Winger,26,6.00m,Romania,Al-Gharafa SC,Cagliari Calcio,loan transfer
Gianluca Gaetano,Attacking Midfield,24,6.00m,Italy,SSC Napoli,Cagliari Calcio,loan transfer
Óliver Torres,Central Midfield,29,6.00m,Spain,Sevilla FC,CF Monterrey,free transfer
Tomás Palacios,Centre-Back,21,6.00m,Argentina,Inter Milan,AC Monza,loan transfer
Soumaïla Coulibaly,Centre-Back,20,6.00m,France,Borussia Dortmund,Stade Brestois 29,loan transfer
Sofiane Boufal,Left Winger,30,6.00m,Morocco,Al-Rayyan SC,Union Saint-Gilloise,free transfer
Berat Özdemir,Defensive Midfield,26,6.00m,Türkiye,Al-Ettifaq FC,Basaksehir FK,loan transfer
Glen Kamara,Central Midfield,29,6.00m,Finland,Stade Rennais FC,Al-Shabab FC,loan transfer
Kayky,Right Winger,21,6.00m,Brazil,Manchester City U21,Esporte Clube Bahia,loan transfer
Koen Casteels,Goalkeeper,32,6.00m,Belgium,VfL Wolfsburg,Al-Qadsiah FC,free transfer
Marcus Ingvartsen,Centre-Forward,29,6.00m,Denmark,FC Nordsjaelland,San Diego FC,?
Ahmed Kutucu,Left Winger,24,3.50m,Türkiye,Eyüpspor,Galatasaray,0
Jayden Bogle,Right-Back,23,3.80m,England,Sheffield United,Leeds United,0
Jack Rudoni,Central Midfield,23,4.80m,England,Huddersfield Town,Coventry City,0
Michael Golding,Central Midfield,18,300k,England,Chelsea FC U21,Leicester City,0
Jordan Ayew,Right Winger,32,4.00m,Ghana,Crystal Palace,Leicester City,0
Rick,Left Winger,25,2.80m,Brazil,Ludogorets Razgrad,CA Talleres,0
Nelson Deossa,Central Midfield,24,4.50m,Colombia,CF Pachuca,CF Monterrey,0
Tomás Cuello,Left Winger,24,3.00m,Argentina,Club Athletico Paranaense,Clube Atlético Mineiro,0
Nathaniel Adjei,Centre-Back,21,2.50m,Ghana,Hammarby IF,FC Lorient,0
Marko Stamenic,Defensive Midfield,22,5.00m,New Zealand,Red Star Belgrade,Nottingham Forest,0
Isidro Pitta,Centre-Forward,25,5.50m,Paraguay,Cuiabá Esporte Clube (MT),Red Bull Bragantino,4.35m
Benja Domínguez,Left Winger,20,5.50m,Argentina,Club de Gimnasia y Esgrima La Plata,Bologna FC 1909,4.00m
Rodrigo Villagra,Defensive Midfield,24,5.50m,Argentina,CA River Plate,CSKA Moscow,3.70m
Lorenzo Pirola,Centre-Back,22,5.50m,Italy,US Salernitana 1919,Olympiacos Piraeus,3.00m
Diogo Gonçalves,Attacking Midfield,27,5.50m,Portugal,FC Copenhagen,Real Salt Lake City,3.00m
