PlayerName,Post,Age,MarketValue,Nationality,Left,Current_team,Fee
Strahinja Pavlović,Centre-Back,23,25.00m,Serbia,Red Bull Salzburg,AC Milan,18.00m
Aleix García,Central Midfield,27,25.00m,Spain,Girona FC,Bayer 04 Leverkusen,18.00m
Vangelis Pavlidis,Centre-Forward,25,25.00m,Greece,AZ Alkmaar,SL Benfica,18.00m
Mattéo Guendouzi,Central Midfield,25,25.00m,France,Olympique Marseille,SS Lazio,13.00m
Yan Couto,Right-Back,22,25.00m,Brazil,Manchester City,Borussia Dortmund,Loan fee:4.00m
Jørgen Strand Larsen,Centre-Forward,24,25.00m,Norway,Celta de Vigo,Wolverhampton Wanderers,Loan fee:3.00m
Arthur Vermeeren,Defensive Midfield,19,25.00m,Belgium,Atlético de Madrid,RB Leipzig,Loan fee:3.00m
Kevin Danso,Centre-Back,26,25.00m,Austria,RC Lens,Tottenham Hotspur,loan transfer
Lesley Ugochukwu,Defensive Midfield,20,25.00m,France,Chelsea FC,Southampton FC,loan transfer
Kalvin Phillips,Defensive Midfield,28,25.00m,England,Manchester City,Ipswich Town,loan transfer
Kurt Zouma,Centre-Back,29,25.00m,France,West Ham United,Al-Orobah FC,loan transfer
Luis Guilherme,Right Winger,18,24.00m,Brazil,Sociedade Esportiva Palmeiras,West Ham United,23.00m
Jaden Philogene,Left Winger,22,15.00m,England,Aston Villa,Ipswich Town,0
Odysseas Vlachodimos,Goalkeeper,30,7.00m,Greece,Nottingham Forest,Newcastle United,0
Sepp van den Berg,Centre-Back,22,12.00m,Netherlands,Liverpool FC,Brentford FC,0
Sander Berge,Defensive Midfield,26,20.00m,Norway,Burnley FC,Fulham FC,0
Omari Hutchinson,Attacking Midfield,20,7.00m,England,Chelsea FC,Ipswich Town,0
Oliver Skipp,Defensive Midfield,23,15.00m,England,Tottenham Hotspur,Leicester City,0
Luis Sinisterra,Left Winger,25,17.00m,Colombia,Leeds United,AFC Bournemouth,0
Orel Mangala,Defensive Midfield,26,20.00m,Belgium,Nottingham Forest,Olympique Lyon,0
Fábio Carvalho,Attacking Midfield,21,14.00m,Portugal,Liverpool FC,Brentford FC,0
Enzo Le Fée,Central Midfield,24,18.00m,France,Stade Rennais FC,AS Roma,0
Taylor Harwood-Bellis,Centre-Back,22,22.00m,England,Manchester City,Southampton FC,0
Waldemar Anton,Centre-Back,27,20.00m,Germany,VfB Stuttgart,Borussia Dortmund,0
Omari Kellyman,Attacking Midfield,18,1.00m,England,Aston Villa U21,Chelsea FC,0
Raoul Bellanova,Right Midfield,24,15.00m,Italy,Torino FC,Atalanta BC,0
Carlos Augusto,Left-Back,25,22.00m,Brazil,AC Monza,Inter Milan,13.25m
Francisco Conceição,Right Winger,21,22.00m,Portugal,Ajax Amsterdam,FC Porto,10.24m
Francisco Conceição,Right Winger,21,22.00m,Portugal,FC Porto,Juventus FC,Loan fee:7.00m
Jesper Lindstrøm,Right Winger,24,22.00m,Denmark,SSC Napoli,Everton FC,Loan fee:2.00m
Sofyan Amrabat,Defensive Midfield,28,22.00m,Morocco,ACF Fiorentina,Fenerbahce,Loan fee:2.00m
Fábio Vieira,Attacking Midfield,24,22.00m,Portugal,Arsenal FC,FC Porto,Loan fee:890k
Armando Broja,Centre-Forward,22,22.00m,Albania,Chelsea FC,Everton FC,loan transfer
Piotr Zieliński,Central Midfield,30,22.00m,Poland,SSC Napoli,Inter Milan,free transfer
Sergiño Dest,Right-Back,23,22.00m,United States,FC Barcelona,PSV Eindhoven,free transfer
Youssoufa Moukoko,Centre-Forward,19,22.00m,Germany,Borussia Dortmund,OGC Nice,loan transfer
Julio Enciso,Attacking Midfield,21,22.00m,Paraguay,Brighton & Hove Albion,Ipswich Town,loan transfer
Jacob Greaves,Centre-Back,23,15.00m,England,Hull City,Ipswich Town,0
Emmanuel Latte Lath,Centre-Forward,26,10.00m,Cote d'Ivoire,Middlesbrough FC,Atlanta United FC,0
Steven Bergwijn,Left Winger,26,18.00m,Netherlands,Ajax Amsterdam,Al-Ittihad Club,0
Antonio Nusa,Left Winger,19,15.00m,Norway,Club Brugge KV,RB Leipzig,0
Brajan Gruda,Right Winger,20,20.00m,Germany,1.FSV Mainz 05,Brighton & Hove Albion,0
Filip Jørgensen,Goalkeeper,22,20.00m,Denmark,Villarreal CF,Chelsea FC,0
Martin Terrier,Left Winger,27,20.00m,France,Stade Rennais FC,Bayer 04 Leverkusen,0
Seko Fofana,Central Midfield,29,12.00m,Cote d'Ivoire,Al-Nassr FC,Stade Rennais FC,0
Emmanuel Agbadou,Centre-Back,27,10.00m,Cote d'Ivoire,Stade Reims,Wolverhampton Wanderers,0
Matvey Safonov,Goalkeeper,25,20.00m,Russia,FC Krasnodar,Paris Saint-Germain,0
Mike Penders,Goalkeeper,19,1.00m,Belgium,KRC Genk,Chelsea FC,0
Claudinho,Attacking Midfield,27,17.00m,Brazil,Zenit St. Petersburg,Al-Sadd SC,0
Orri Óskarsson,Centre-Forward,20,5.00m,Iceland,FC Copenhagen,Real Sociedad,0
Youssef En-Nesyri,Centre-Forward,27,20.00m,Morocco,Sevilla FC,Fenerbahce,19.50m
Amine Gouiri,Centre-Forward,24,20.00m,Algeria,Stade Rennais FC,Olympique Marseille,19.00m
Georges Mikautadze,Centre-Forward,23,20.00m,Georgia,FC Metz,Olympique Lyon,18.50m
Manu Koné,Central Midfield,23,20.00m,France,Borussia Mönchengladbach,AS Roma,18.00m
Maxence Lacroix,Centre-Back,24,20.00m,France,VfL Wolfsburg,Crystal Palace,18.00m
Aaron Wan-Bissaka,Right-Back,26,20.00m,DR Congo,Manchester United,West Ham United,17.60m
Hugo Ekitiké,Centre-Forward,22,20.00m,France,Paris Saint-Germain,Eintracht Frankfurt,16.50m
Mohamed Camara,Defensive Midfield,24,20.00m,Mali,AS Monaco,Al-Sadd SC,16.50m
Saïd Benrahma,Left Winger,28,20.00m,Algeria,West Ham United,Olympique Lyon,14.40m
Arthur Theate,Centre-Back,24,20.00m,Belgium,Stade Rennais FC,Eintracht Frankfurt,13.00m
Malik Tillman,Attacking Midfield,22,20.00m,United States,Bayern Munich,PSV Eindhoven,12.00m
Lazar Samardžić,Central Midfield,22,20.00m,Serbia,Udinese Calcio,Atalanta BC,Loan fee:5.00m
Pierre Kalulu,Centre-Back,24,20.00m,France,AC Milan,Juventus FC,Loan fee:3.30m
Nicolò Zaniolo,Attacking Midfield,25,20.00m,Italy,Galatasaray,Atalanta BC,Loan fee:3.20m
Nicolò Fagioli,Central Midfield,23,20.00m,Italy,Juventus FC,ACF Fiorentina,Loan fee:2.50m
El Bilal Touré,Centre-Forward,22,20.00m,Mali,Atalanta BC,VfB Stuttgart,Loan fee:950k
Arthur Theate,Centre-Back,24,20.00m,Belgium,Stade Rennais FC,Eintracht Frankfurt,loan transfer
Orel Mangala,Defensive Midfield,26,20.00m,Belgium,Olympique Lyon,Everton FC,loan transfer
Antony,Right Winger,24,20.00m,Brazil,Manchester United,Real Betis Balompié,loan transfer
Guido Rodríguez,Defensive Midfield,30,20.00m,Argentina,Real Betis Balompié,West Ham United,free transfer
Carlos Soler,Central Midfield,27,20.00m,Spain,Paris Saint-Germain,West Ham United,loan transfer
Marco Asensio,Attacking Midfield,29,20.00m,Spain,Paris Saint-Germain,Aston Villa,loan transfer
Tosin Adarabioyo,Centre-Back,26,20.00m,England,Fulham FC,Chelsea FC,free transfer
Djordje Petrovic,Goalkeeper,24,20.00m,Serbia,Chelsea FC,RC Strasbourg Alsace,loan transfer
Ben Chilwell,Left-Back,28,20.00m,England,Chelsea FC,Crystal Palace,loan transfer
Raphaël Varane,Centre-Back,31,20.00m,France,Manchester United,Como 1907,free transfer
Dean Huijsen,Centre-Back,19,10.00m,Spain,Juventus FC,AFC Bournemouth,0
Jake O'Brien,Right-Back,23,12.00m,Ireland,Olympique Lyon,Everton FC,0
Ibrahim Osman,Left Winger,19,12.00m,Ghana,FC Nordsjaelland,Brighton & Hove Albion,0
Conrad Harder,Centre-Forward,19,2.00m,Denmark,FC Nordsjaelland,Sporting CP,0
George Ilenikhena,Centre-Forward,17,10.00m,Nigeria,Royal Antwerp FC,AS Monaco,0
Levi García,Centre-Forward,27,15.00m,Trinidad and Tobago,AEK Athens,Spartak Moscow,0
Ezequiel Fernández,Defensive Midfield,22,14.00m,Argentina,CA Boca Juniors,Al-Qadsiah FC,0
Stefanos Tzimas,Centre-Forward,19,10.00m,Greece,PAOK Thessaloniki,1.FC Nuremberg,0
Iliman Ndiaye,Left Winger,24,15.00m,Senegal,Olympique Marseille,Everton FC,0
Gabriel Sara,Central Midfield,25,18.00m,Brazil,Norwich City,Galatasaray,0
Adam Hlozek,Second Striker,22,12.00m,Czech Republic,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,0
Marshall Munetsi,Central Midfield,28,10.00m,Zimbabwe,Stade Reims,Wolverhampton Wanderers,0
Carlos Alcaraz,Central Midfield,21,15.00m,Argentina,Southampton FC,CR Flamengo,0
Paulinho,Left Winger,24,17.00m,Brazil,Clube Atlético Mineiro,Sociedade Esportiva Palmeiras,0
Logan Costa,Centre-Back,23,12.00m,Cape Verde,FC Toulouse,Villarreal CF,0
Mike Trésor,Left Winger,25,12.00m,Belgium,KRC Genk,Burnley FC,0
Yáser Asprilla,Right Winger,20,9.00m,Colombia,Watford FC,Girona FC,0
Bento,Goalkeeper,25,15.00m,Brazil,Club Athletico Paranaense,Al-Nassr FC,0
Wesley,Left Winger,19,10.00m,Brazil,Sport Club Corinthians Paulista,Al-Nassr FC,0
Enes Ünal,Centre-Forward,27,18.00m,Türkiye,Getafe CF,AFC Bournemouth,16.50m
Zeno Debast,Centre-Back,20,18.00m,Belgium,RSC Anderlecht,Sporting CP,15.50m
Emerson Royal,Right-Back,25,18.00m,Brazil,Tottenham Hotspur,AC Milan,15.00m
Ismaïla Sarr,Attacking Midfield,26,18.00m,Senegal,Olympique Marseille,Crystal Palace,15.00m
Thijs Dallinga,Centre-Forward,23,18.00m,Netherlands,FC Toulouse,Bologna FC 1909,15.00m
Billy Gilmour,Defensive Midfield,23,18.00m,Scotland,Brighton & Hove Albion,SSC Napoli,14.00m
Cucho Hernández,Centre-Forward,25,18.00m,Colombia,Columbus Crew,Real Betis Balompié,13.00m
Jordan Teze,Right-Back,24,18.00m,Netherlands,PSV Eindhoven,AS Monaco,10.00m
Benjamin Bourigeaud,Central Midfield,30,18.00m,France,Stade Rennais FC,Al-Duhail SC,10.00m
Allan Saint-Maximin,Left Winger,27,18.00m,France,Al-Ahli SFC,Fenerbahce,Loan fee:8.00m
Michele Di Gregorio,Goalkeeper,26,18.00m,Italy,AC Monza,Juventus FC,Loan fee:4.50m
Andrea Colpani,Attacking Midfield,25,18.00m,Italy,AC Monza,ACF Fiorentina,Loan fee:4.00m
Lloyd Kelly,Centre-Back,26,18.00m,England,Newcastle United,Juventus FC,Loan fee:3.80m
Nicolò Zaniolo,Attacking Midfield,25,18.00m,Italy,Galatasaray,ACF Fiorentina,Loan fee:3.20m
Simon Banza,Centre-Forward,28,18.00m,DR Congo,SC Braga,Trabzonspor,Loan fee:2.00m
Edoardo Bove,Central Midfield,22,18.00m,Italy,AS Roma,ACF Fiorentina,Loan fee:1.50m
Michael Kayode,Right-Back,20,18.00m,Italy,ACF Fiorentina,Brentford FC,Loan fee:500k
Emiliano Buendía,Attacking Midfield,28,18.00m,Argentina,Aston Villa,Bayer 04 Leverkusen,loan transfer
Robin Koch,Centre-Back,27,18.00m,Germany,Leeds United,Eintracht Frankfurt,free transfer
Pierre-Emile Højbjerg,Defensive Midfield,28,18.00m,Denmark,Tottenham Hotspur,Olympique Marseille,loan transfer
Enzo Le Fée,Central Midfield,24,18.00m,France,AS Roma,Sunderland AFC,loan transfer
Lloyd Kelly,Centre-Back,25,18.00m,England,AFC Bournemouth,Newcastle United,free transfer
Daichi Kamada,Attacking Midfield,27,18.00m,Japan,SS Lazio,Crystal Palace,free transfer
Facundo Buonanotte,Attacking Midfield,19,18.00m,Argentina,Brighton & Hove Albion,Leicester City,loan transfer
Liam Delap,Centre-Forward,21,8.00m,England,Manchester City U21,Ipswich Town,0
Jack Clarke,Left Winger,23,15.00m,England,Sunderland AFC,Ipswich Town,0
Cameron Archer,Centre-Forward,22,13.00m,England,Aston Villa,Southampton FC,0
Kauã Elias,Centre-Forward,18,9.00m,Brazil,Fluminense Football Club,Shakhtar Donetsk,0
Hamed Junior Traoré,Attacking Midfield,24,17.00m,Cote d'Ivoire,AFC Bournemouth,AJ Auxerre,loan transfer
Leandro Barreiro,Central Midfield,24,17.00m,Luxembourg,1.FSV Mainz 05,SL Benfica,free transfer
Cameron Archer,Centre-Forward,22,13.00m,England,Sheffield United,Aston Villa,0
Antonín Kinský,Goalkeeper,21,12.00m,Czech Republic,SK Slavia Prague,Tottenham Hotspur,0
Aarón Anselmino,Centre-Back,19,3.00m,Argentina,CA Boca Juniors,Chelsea FC,0
Mateo Retegui,Centre-Forward,25,16.00m,Italy,Genoa CFC,Atalanta BC,0
Christian Mawissa,Centre-Back,19,9.00m,France,FC Toulouse,AS Monaco,0
Jaden Philogene,Left Winger,22,15.00m,England,Hull City,Aston Villa,0
Andreas Skov Olsen,Right Winger,25,16.00m,Denmark,Club Brugge KV,VfL Wolfsburg,14.00m
Álvaro Morata,Centre-Forward,31,16.00m,Spain,Atlético de Madrid,AC Milan,13.00m
Miguel Almirón,Right Winger,30,16.00m,Paraguay,Newcastle United,Atlanta United FC,9.55m
Giovani Lo Celso,Central Midfield,28,16.00m,Argentina,Tottenham Hotspur,Real Betis Balompié,5.00m
Mohamed Amoura,Centre-Forward,24,16.00m,Algeria,Union Saint-Gilloise,VfL Wolfsburg,Loan fee:3.00m
Adam Armstrong,Centre-Forward,27,16.00m,England,Southampton FC,West Bromwich Albion,loan transfer
Max Aarons,Right-Back,25,16.00m,England,AFC Bournemouth,Valencia CF,loan transfer
Kévin Denkey,Centre-Forward,24,14.00m,Togo,Cercle Brugge ,FC Cincinnati,0
Ângelo,Right Winger,19,15.00m,Brazil,Chelsea FC,Al-Nassr FC,0
Jeanuël Belocian,Centre-Back,19,10.00m,France,Stade Rennais FC,Bayer 04 Leverkusen,0
Lamine Camara,Central Midfield,20,10.00m,Senegal,FC Metz,AS Monaco,0
Mateus Fernandes,Central Midfield,20,8.00m,Portugal,Sporting CP,Southampton FC,0
Marin Pongračić,Centre-Back,26,7.00m,Croatia,US Lecce,ACF Fiorentina,0
Rodrigo Gomes,Right Midfield,20,12.00m,Portugal,SC Braga,Wolverhampton Wanderers,0
Álvaro Djaló,Left Winger,24,15.00m,Spain,SC Braga,Athletic Bilbao,0
Mathis Amougou,Central Midfield,19,5.00m,France,AS Saint-Étienne,Chelsea FC,0
Chadi Riad,Centre-Back,21,15.00m,Morocco,Real Betis Balompié,Crystal Palace,0
Maxence Caqueret,Central Midfield,24,15.00m,France,Olympique Lyon,Como 1907,0
Cameron Puertas,Attacking Midfield,26,15.00m,Spain,Union Saint-Gilloise,Al-Qadsiah FC,0
Brice Samba,Goalkeeper,30,15.00m,France,RC Lens,Stade Rennais FC,14.00m
Georges Mikautadze,Centre-Forward,23,15.00m,Georgia,Ajax Amsterdam,FC Metz,13.00m
Nikola Milenković,Centre-Back,26,15.00m,Serbia,ACF Fiorentina,Nottingham Forest,12.30m
